student_id,student_name,class,hobby,father_name,contact_number,address,bus_route
23,Bhavya Yadav,10,Yoga,Madhavi Naidu,9360916298,"H.No. 804, Gachibowli, Hyderabad",Route-7
24,Ishita Rao,7,Cycling,Krishna Nair,9601463916,"H.No. 885, Manikonda, Hyderabad",Route-1
25,Krishna Sharma,5,Music,Likith Mishra,9304235259,"H.No. 550, Gachibowli, Hyderabad",Route-3
26,Akash Patel,6,Swimming,Meera Babu,9967607278,"H.No. 883, Nizampet, Hyderabad",Route-9
27,Krishna Sharma,5,Chess,Madhavi Reddy,9536383774,"H.No. 498, Gachibowli, Hyderabad",Route-4
28,Likith Sharma,5,Coding,Ananya Iyer,9941889393,"H.No. 804, Gachibowli, Hyderabad",Route-5
29,Akash Joshi,6,Music,Bhavya Naidu,9162795957,"H.No. 594, Manikonda, Hyderabad",Route-9
30,Vihaan Mishra,9,Story Writing,Vihaan Sharma,9670292350,"H.No. 162, Ameerpet, Hyderabad",Route-9
31,Sai Patel,5,Dance,Arjun Kulkarni,9533550699,"H.No. 123, Tarnaka, Hyderabad",Route-10
32,Pooja Das,9,Cycling,Navya Sharma,9805849060,"H.No. 598, Begumpet, Hyderabad",Route-9
33,Abhiram Singh,6,Volleyball,Saanvi Mishra,9240529481,"H.No. 688, Nagole, Hyderabad",Route-5
34,Rohit Mishra,8,Reading,Arjun Reddy,9178663096,"H.No. 551, Uppal, Hyderabad",Route-9
35,Sneha Naidu,6,Singing,Teja Kumar,9269379374,"H.No. 449, Nizampet, Hyderabad",Route-9
36,Priya Kulkarni,10,Singing,Sirisha Reddy,9812308209,"H.No. 107, Tarnaka, Hyderabad",Route-3
37,Sneha Rao,6,Singing,Krishna Joshi,9749431082,"H.No. 216, Manikonda, Hyderabad",Route-6
38,Saanvi Singh,7,Badminton,Keerthi Chowdary,9781057736,"H.No. 434, Nizampet, Hyderabad",Route-5
39,Aditya Reddy,10,Chess,Charan Naidu,9895890631,"H.No. 453, Secunderabad, Hyderabad",Route-12
40,Akash Joshi,5,Drawing,Aarav Rao,9685823118,"H.No. 37, Nizampet, Hyderabad",Route-6
41,Manasa Joshi,6,Singing,Nikhil Nair,9491541578,"H.No. 921, Tarnaka, Hyderabad",Route-1
42,Teja Yadav,7,Cycling,Pooja Rao,9766430218,"H.No. 768, Miyapur, Hyderabad",Route-4
43,Ananya Patel,6,Painting,Naveen Reddy,9940081098,"H.No. 954, Madhapur, Hyderabad",Route-11
44,Pooja Singh,8,Yoga,Ananya Rao,9338836384,"H.No. 205, Nizampet, Hyderabad",Route-8
45,Teja Gupta,5,Music,Kavya Varma,9527849588,"H.No. 337, Dilsukhnagar, Hyderabad",Route-2
46,Meera Agarwal,10,Painting,Keerthi Iyer,9129635852,"H.No. 119, Tarnaka, Hyderabad",Route-5
47,Diya Das,5,Cycling,Sneha Sharma,9471178705,"H.No. 747, Kondapur, Hyderabad",Route-6
48,Akash Kulkarni,8,Music,Keerthi Rao,9373506211,"H.No. 46, Manikonda, Hyderabad",Route-7
49,Aarav Verma,7,Badminton,Madhavi Yadav,9813219781,"H.No. 943, LB Nagar, Hyderabad",Route-10
50,Abhiram Rao,7,Cycling,Priya Verma,9450236225,"H.No. 413, Manikonda, Hyderabad",Route-5
51,Divya Naidu,10,Chess,Ishita Nair,9760904107,"H.No. 583, Dilsukhnagar, Hyderabad",Route-7
52,Divya Reddy,6,Painting,Priya Gupta,9599277266,"H.No. 453, Gachibowli, Hyderabad",Route-11
53,Saanvi Verma,10,Singing,Lakshmi Patel,9653462378,"H.No. 680, Nagole, Hyderabad",Route-10
54,Charan Kumar,6,Drawing,Pooja Gupta,9126226563,"H.No. 48, Uppal, Hyderabad",Route-8
55,Harini Kumar,10,Music,Rohit Nair,9871318048,"H.No. 714, Madhapur, Hyderabad",Route-8
56,Likith Varma,5,Dance,Nikhil Reddy,9288856883,"H.No. 824, Manikonda, Hyderabad",Route-9
57,Rohit Sharma,5,Drawing,Divya Varma,9960514523,"H.No. 476, Nagole, Hyderabad",Route-9
58,Divya Kulkarni,9,Story Writing,Abhiram Babu,9558209399,"H.No. 851, Tarnaka, Hyderabad",Route-9
59,Manoj Patel,7,Coding,Lakshmi Babu,9922286180,"H.No. 797, Secunderabad, Hyderabad",Route-8
60,Pooja Singh,10,Dance,Manoj Kumar,9391751878,"H.No. 344, LB Nagar, Hyderabad",Route-9
61,Sai Naidu,8,Drawing,Nikhil Varma,9858511779,"H.No. 220, Kukatpally, Hyderabad",Route-7
62,Naveen Mishra,8,Music,Madhavi Babu,9994310083,"H.No. 431, Madhapur, Hyderabad",Route-10
63,Vivaan Das,5,Singing,Vamsi Chowdary,9909037759,"H.No. 400, Nizampet, Hyderabad",Route-7
64,Madhavi Joshi,8,Coding,Navya Varma,9567975319,"H.No. 498, Ameerpet, Hyderabad",Route-7
65,Charan Iyer,6,Skating,Ananya Babu,9128955006,"H.No. 929, Madhapur, Hyderabad",Route-10
66,Pallavi Reddy,6,Chess,Sai Nair,9153992714,"H.No. 267, Madhapur, Hyderabad",Route-6
67,Saanvi Babu,8,Cycling,Abhiram Mishra,9370874491,"H.No. 855, Kukatpally, Hyderabad",Route-8
68,Vivaan Joshi,6,Badminton,Vihaan Agarwal,9938842599,"H.No. 981, Nagole, Hyderabad",Route-1
69,Vivaan Varma,9,Dance,Ishita Reddy,9235528741,"H.No. 485, Nagole, Hyderabad",Route-2
70,Pallavi Yadav,7,Reading,Rohit Singh,9935147672,"H.No. 839, Miyapur, Hyderabad",Route-5
71,Krishna Das,9,Volleyball,Vivaan Gupta,9525904456,"H.No. 965, Manikonda, Hyderabad",Route-4
72,Arjun Das,10,Reading,Pooja Rao,9954942461,"H.No. 580, Kondapur, Hyderabad",Route-1
73,Teja Joshi,5,Painting,Akash Agarwal,9113585139,"H.No. 870, Madhapur, Hyderabad",Route-8
74,Krishna Nair,10,Cycling,Harsha Babu,9289125618,"H.No. 752, Secunderabad, Hyderabad",Route-11
75,Meera Kulkarni,8,Coding,Madhavi Chowdary,9446071904,"H.No. 873, Uppal, Hyderabad",Route-2
76,Meera Babu,9,Volleyball,Pooja Babu,9461203124,"H.No. 30, Gachibowli, Hyderabad",Route-6
77,Diya Chowdary,7,Coding,Saanvi Agarwal,9740116562,"H.No. 719, Tarnaka, Hyderabad",Route-5
78,Divya Reddy,5,Cycling,Sirisha Yadav,9624606470,"H.No. 569, Kondapur, Hyderabad",Route-4
79,Lakshmi Chowdary,5,Dance,Manoj Reddy,9534222401,"H.No. 709, Uppal, Hyderabad",Route-5
80,Manasa Agarwal,9,Cycling,Lakshmi Joshi,9900942073,"H.No. 564, LB Nagar, Hyderabad",Route-6
81,Rohit Singh,6,Music,Priya Singh,9438817025,"H.No. 123, Manikonda, Hyderabad",Route-9
82,Diya Yadav,7,Story Writing,Saanvi Chowdary,9740799178,"H.No. 290, Kukatpally, Hyderabad",Route-4
83,Riya Varma,7,Skating,Harsha Patel,9235917419,"H.No. 281, Ameerpet, Hyderabad",Route-1
84,Divya Gupta,5,Singing,Kiran Chowdary,9604011128,"H.No. 491, Gachibowli, Hyderabad",Route-6
85,Diya Sharma,5,Volleyball,Sneha Chowdary,9628008852,"H.No. 76, Begumpet, Hyderabad",Route-11
86,Vihaan Naidu,7,Dance,Nikhil Das,9227186396,"H.No. 572, Kondapur, Hyderabad",Route-7
87,Navya Kulkarni,9,Swimming,Harini Varma,9575368059,"H.No. 305, Nizampet, Hyderabad",Route-10
88,Akash Gupta,5,Reading,Pallavi Kulkarni,9918982730,"H.No. 213, Nagole, Hyderabad",Route-4
89,Sneha Kumar,6,Badminton,Ananya Varma,9268075622,"H.No. 3, Madhapur, Hyderabad",Route-8
90,Navya Chowdary,6,Singing,Riya Sharma,9854827139,"H.No. 881, Gachibowli, Hyderabad",Route-2
91,Kavya Singh,8,Skating,Manasa Yadav,9341387305,"H.No. 664, Miyapur, Hyderabad",Route-5
92,Nikhil Kumar,7,Singing,Vihaan Patel,9571537429,"H.No. 128, Gachibowli, Hyderabad",Route-12
93,Priya Iyer,9,Swimming,Meera Verma,9186373782,"H.No. 613, Ameerpet, Hyderabad",Route-7
94,Abhiram Kulkarni,5,Cricket,Sneha Reddy,9921155204,"H.No. 689, Nizampet, Hyderabad",Route-5
95,Pallavi Sharma,9,Swimming,Diya Chowdary,9398668350,"H.No. 186, Begumpet, Hyderabad",Route-7
96,Bhavya Kumar,8,Painting,Lakshmi Agarwal,9819550381,"H.No. 108, Nizampet, Hyderabad",Route-3
97,Charan Nair,10,Skating,Bhavya Gupta,9139403247,"H.No. 466, Kukatpally, Hyderabad",Route-6
98,Sneha Mishra,9,Skating,Rahul Iyer,9596043327,"H.No. 424, Ameerpet, Hyderabad",Route-4
99,Sirisha Agarwal,10,Football,Harini Chowdary,9318568997,"H.No. 274, Secunderabad, Hyderabad",Route-3
100,Riya Babu,5,Dance,Bhavya Rao,9862123506,"H.No. 163, Dilsukhnagar, Hyderabad",Route-9
101,Aarav Joshi,6,Swimming,Naveen Kumar,9226128312,"H.No. 664, Nizampet, Hyderabad",Route-3
102,Bhavya Gupta,8,Yoga,Keerthi Singh,9361704064,"H.No. 468, Secunderabad, Hyderabad",Route-3
103,Vamsi Yadav,10,Badminton,Navya Verma,9396618390,"H.No. 792, Kondapur, Hyderabad",Route-7
104,Charan Verma,7,Singing,Meera Reddy,9999232921,"H.No. 602, Begumpet, Hyderabad",Route-11
105,Bhavya Naidu,8,Painting,Manoj Joshi,9692616814,"H.No. 782, Secunderabad, Hyderabad",Route-7
106,Rohit Mishra,9,Dance,Ishita Varma,9932734539,"H.No. 421, Ameerpet, Hyderabad",Route-6
107,Lakshmi Iyer,8,Drawing,Vamsi Naidu,9639331014,"H.No. 989, Begumpet, Hyderabad",Route-6
108,Krishna Babu,8,Drawing,Krishna Verma,9540211187,"H.No. 892, Nagole, Hyderabad",Route-3
109,Arjun Chowdary,9,Volleyball,Sneha Mishra,9797756796,"H.No. 83, Nizampet, Hyderabad",Route-6
110,Madhavi Iyer,9,Badminton,Abhiram Chowdary,9352082631,"H.No. 647, Nagole, Hyderabad",Route-5
111,Kavya Kumar,10,Reading,Akash Rao,9576396216,"H.No. 171, Manikonda, Hyderabad",Route-5
112,Vivaan Sharma,7,Kabaddi,Abhiram Sharma,9562446417,"H.No. 150, Uppal, Hyderabad",Route-9
113,Naveen Das,6,Volleyball,Diya Patel,9765408938,"H.No. 700, Uppal, Hyderabad",Route-8
114,Manasa Naidu,10,Swimming,Kavya Babu,9374154962,"H.No. 683, Ameerpet, Hyderabad",Route-8
115,Riya Joshi,8,Singing,Ananya Kumar,9786055206,"H.No. 986, Madhapur, Hyderabad",Route-12
116,Sneha Babu,8,Reading,Priya Yadav,9354697684,"H.No. 391, Begumpet, Hyderabad",Route-6
117,Pallavi Gupta,10,Coding,Riya Reddy,9108695125,"H.No. 580, Nizampet, Hyderabad",Route-11
118,Vihaan Kulkarni,6,Kabaddi,Bhavya Gupta,9335154329,"H.No. 652, Uppal, Hyderabad",Route-10
119,Sneha Naidu,7,Football,Krishna Sharma,9722312633,"H.No. 374, Manikonda, Hyderabad",Route-3
120,Sai Gupta,6,Drawing,Abhiram Nair,9944511703,"H.No. 553, Tarnaka, Hyderabad",Route-6
121,Sirisha Verma,7,Singing,Meera Patel,9901611993,"H.No. 892, LB Nagar, Hyderabad",Route-2
122,Rohit Kumar,10,Volleyball,Nikhil Varma,9963919401,"H.No. 571, LB Nagar, Hyderabad",Route-2
123,Likith Reddy,5,Kabaddi,Sneha Joshi,9822443971,"H.No. 767, Nagole, Hyderabad",Route-5
124,Manasa Iyer,10,Yoga,Harsha Rao,9126870011,"H.No. 635, Tarnaka, Hyderabad",Route-9
125,Abhiram Kulkarni,10,Singing,Kavya Kumar,9797115550,"H.No. 419, Kukatpally, Hyderabad",Route-3
126,Aditya Sharma,5,Dance,Priya Chowdary,9677186272,"H.No. 139, Madhapur, Hyderabad",Route-8
127,Harsha Joshi,10,Drawing,Naveen Das,9545478870,"H.No. 671, Kukatpally, Hyderabad",Route-8
128,Harini Nair,10,Music,Meera Sharma,9576078963,"H.No. 456, Uppal, Hyderabad",Route-6
129,Krishna Agarwal,5,Coding,Madhavi Agarwal,9303805386,"H.No. 992, Kukatpally, Hyderabad",Route-8
130,Sai Yadav,5,Dance,Navya Reddy,9235209737,"H.No. 806, Begumpet, Hyderabad",Route-4
131,Arjun Joshi,6,Painting,Saanvi Das,9931471931,"H.No. 152, Kondapur, Hyderabad",Route-10
132,Aarav Singh,9,Chess,Nikhil Naidu,9218032515,"H.No. 677, Nizampet, Hyderabad",Route-1
133,Kiran Reddy,9,Cricket,Teja Varma,9287095435,"H.No. 272, Ameerpet, Hyderabad",Route-3
134,Naveen Verma,8,Kabaddi,Rahul Kumar,9651085057,"H.No. 608, Kukatpally, Hyderabad",Route-8
135,Keerthi Varma,10,Story Writing,Harini Sharma,9423873102,"H.No. 470, Nagole, Hyderabad",Route-1
136,Vihaan Chowdary,10,Yoga,Likith Nair,9864935082,"H.No. 932, Gachibowli, Hyderabad",Route-2
137,Sai Mishra,5,Coding,Navya Naidu,9770355806,"H.No. 649, Begumpet, Hyderabad",Route-9
138,Abhiram Iyer,7,Story Writing,Navya Verma,9750072069,"H.No. 441, Kukatpally, Hyderabad",Route-12
139,Rahul Joshi,8,Cycling,Saanvi Nair,9463925049,"H.No. 848, Gachibowli, Hyderabad",Route-7
140,Naveen Rao,7,Coding,Abhiram Nair,9501902658,"H.No. 977, Miyapur, Hyderabad",Route-11
141,Lakshmi Kumar,5,Reading,Sai Kumar,9899496315,"H.No. 757, LB Nagar, Hyderabad",Route-3
142,Divya Sharma,9,Reading,Manasa Joshi,9541102414,"H.No. 363, Nizampet, Hyderabad",Route-11
143,Akash Sharma,7,Reading,Riya Kulkarni,9720535283,"H.No. 520, Uppal, Hyderabad",Route-3
144,Lakshmi Varma,9,Reading,Krishna Agarwal,9918841563,"H.No. 286, Begumpet, Hyderabad",Route-4
145,Akash Joshi,10,Skating,Harini Kulkarni,9128189836,"H.No. 624, Tarnaka, Hyderabad",Route-11
146,Meera Reddy,10,Painting,Diya Singh,9476908532,"H.No. 7, Miyapur, Hyderabad",Route-3
147,Pallavi Iyer,10,Cricket,Arjun Naidu,9198524063,"H.No. 765, Secunderabad, Hyderabad",Route-4
148,Vamsi Nair,6,Singing,Rohit Mishra,9874807770,"H.No. 333, Kondapur, Hyderabad",Route-10
149,Navya Kumar,6,Football,Vihaan Naidu,9823668399,"H.No. 84, Dilsukhnagar, Hyderabad",Route-8
150,Akash Chowdary,8,Music,Navya Babu,9910614025,"H.No. 525, Kukatpally, Hyderabad",Route-6
151,Akash Rao,8,Singing,Riya Das,9148766522,"H.No. 226, Madhapur, Hyderabad",Route-10
152,Vihaan Reddy,6,Coding,Saanvi Gupta,9410791488,"H.No. 336, Kukatpally, Hyderabad",Route-1
153,Bhavya Nair,8,Dance,Diya Naidu,9637152602,"H.No. 573, Nizampet, Hyderabad",Route-11
154,Teja Kumar,8,Swimming,Likith Sharma,9183604337,"H.No. 883, LB Nagar, Hyderabad",Route-10
155,Akash Das,7,Volleyball,Likith Nair,9122394554,"H.No. 990, LB Nagar, Hyderabad",Route-3
156,Harini Babu,8,Dance,Harsha Kumar,9567804106,"H.No. 604, Madhapur, Hyderabad",Route-9
157,Sai Iyer,6,Chess,Priya Mishra,9182011731,"H.No. 523, Nagole, Hyderabad",Route-2
158,Sirisha Verma,7,Drawing,Ishita Agarwal,9353691745,"H.No. 106, Miyapur, Hyderabad",Route-5
159,Ishita Patel,10,Chess,Navya Naidu,9929839316,"H.No. 644, Gachibowli, Hyderabad",Route-8
160,Pallavi Das,10,Painting,Manoj Das,9773469560,"H.No. 324, Miyapur, Hyderabad",Route-8
161,Arjun Chowdary,7,Football,Manoj Gupta,9477895080,"H.No. 520, Kukatpally, Hyderabad",Route-5
162,Rohit Babu,7,Badminton,Aditya Sharma,9792205349,"H.No. 885, Nizampet, Hyderabad",Route-2
163,Harini Kulkarni,8,Skating,Keerthi Iyer,9950207886,"H.No. 757, Tarnaka, Hyderabad",Route-1
164,Manoj Das,9,Story Writing,Ishita Mishra,9261985842,"H.No. 981, Ameerpet, Hyderabad",Route-8
165,Krishna Mishra,10,Football,Sai Verma,9366012797,"H.No. 725, Gachibowli, Hyderabad",Route-8
166,Sirisha Verma,7,Singing,Harini Patel,9515985367,"H.No. 419, Kondapur, Hyderabad",Route-6
167,Navya Sharma,7,Skating,Charan Kumar,9828404274,"H.No. 396, Dilsukhnagar, Hyderabad",Route-5
168,Navya Naidu,9,Drawing,Charan Kumar,9475617211,"H.No. 318, Nagole, Hyderabad",Route-12
169,Likith Naidu,7,Volleyball,Navya Kumar,9790945624,"H.No. 811, LB Nagar, Hyderabad",Route-3
170,Sirisha Kumar,7,Kabaddi,Akash Verma,9431642423,"H.No. 185, Uppal, Hyderabad",Route-6
171,Bhavya Yadav,6,Singing,Kavya Naidu,9946237594,"H.No. 104, Secunderabad, Hyderabad",Route-9
172,Sirisha Sharma,6,Volleyball,Charan Kulkarni,9265627642,"H.No. 167, Miyapur, Hyderabad",Route-12
173,Harini Patel,8,Dance,Manoj Sharma,9576954730,"H.No. 626, Dilsukhnagar, Hyderabad",Route-12
174,Manoj Varma,7,Music,Madhavi Varma,9494966219,"H.No. 695, Begumpet, Hyderabad",Route-8
175,Rohit Gupta,9,Chess,Vamsi Verma,9977130288,"H.No. 205, Kondapur, Hyderabad",Route-10
176,Kiran Singh,7,Reading,Vihaan Chowdary,9863860982,"H.No. 867, Secunderabad, Hyderabad",Route-2
177,Riya Kumar,8,Drawing,Ananya Singh,9992329618,"H.No. 448, Kukatpally, Hyderabad",Route-4
178,Manoj Agarwal,5,Story Writing,Vivaan Nair,9501538092,"H.No. 242, Madhapur, Hyderabad",Route-2
179,Harsha Varma,5,Painting,Vivaan Mishra,9949738493,"H.No. 150, Miyapur, Hyderabad",Route-1
180,Riya Chowdary,8,Cricket,Kiran Chowdary,9185068029,"H.No. 20, Dilsukhnagar, Hyderabad",Route-4
181,Nikhil Joshi,8,Singing,Navya Verma,9355164255,"H.No. 309, Kukatpally, Hyderabad",Route-1
182,Pooja Nair,5,Yoga,Harini Babu,9740743666,"H.No. 549, Ameerpet, Hyderabad",Route-11
183,Keerthi Das,7,Cricket,Pooja Naidu,9760146764,"H.No. 362, Uppal, Hyderabad",Route-10
184,Naveen Patel,7,Story Writing,Sai Verma,9684203557,"H.No. 520, Kondapur, Hyderabad",Route-9
185,Divya Reddy,5,Volleyball,Vamsi Chowdary,9500830389,"H.No. 260, Manikonda, Hyderabad",Route-1
186,Teja Kumar,10,Reading,Teja Varma,9928393291,"H.No. 596, Manikonda, Hyderabad",Route-6
187,Kiran Sharma,7,Chess,Teja Joshi,9991617660,"H.No. 798, Nagole, Hyderabad",Route-8
188,Lakshmi Patel,10,Football,Kiran Kumar,9415081566,"H.No. 207, Ameerpet, Hyderabad",Route-4
189,Aditya Mishra,8,Yoga,Priya Verma,9371993587,"H.No. 38, Kondapur, Hyderabad",Route-11
190,Ishita Gupta,10,Coding,Teja Sharma,9233654018,"H.No. 819, LB Nagar, Hyderabad",Route-7
191,Likith Babu,6,Yoga,Vamsi Mishra,9494435754,"H.No. 947, Kondapur, Hyderabad",Route-9
192,Meera Kumar,8,Chess,Akash Kumar,9685698675,"H.No. 301, LB Nagar, Hyderabad",Route-2
193,Sai Mishra,8,Cycling,Riya Gupta,9278933456,"H.No. 707, Gachibowli, Hyderabad",Route-6
194,Manoj Sharma,8,Football,Teja Kulkarni,9180574838,"H.No. 688, Nagole, Hyderabad",Route-7
195,Harsha Verma,6,Swimming,Ananya Reddy,9137365109,"H.No. 130, Kukatpally, Hyderabad",Route-4
196,Harsha Agarwal,5,Drawing,Vamsi Das,9829137330,"H.No. 461, LB Nagar, Hyderabad",Route-6
197,Manoj Kumar,9,Volleyball,Pallavi Naidu,9437568796,"H.No. 666, Dilsukhnagar, Hyderabad",Route-4
198,Rahul Reddy,9,Skating,Diya Chowdary,9226444910,"H.No. 269, Kondapur, Hyderabad",Route-5
199,Manoj Yadav,10,Music,Harini Gupta,9231680929,"H.No. 139, Nizampet, Hyderabad",Route-2
200,Manoj Patel,10,Kabaddi,Manoj Kumar,9861863296,"H.No. 67, Secunderabad, Hyderabad",Route-9
201,Riya Gupta,7,Dance,Ananya Patel,9230311939,"H.No. 206, Kondapur, Hyderabad",Route-3
202,Pooja Chowdary,9,Kabaddi,Vivaan Agarwal,9601873197,"H.No. 823, Secunderabad, Hyderabad",Route-3
203,Harini Kumar,8,Yoga,Arjun Gupta,9664461415,"H.No. 421, Kondapur, Hyderabad",Route-7
204,Pallavi Kumar,10,Swimming,Kiran Mishra,9600184588,"H.No. 697, Secunderabad, Hyderabad",Route-6
205,Kiran Joshi,6,Story Writing,Manasa Patel,9159499094,"H.No. 852, Kukatpally, Hyderabad",Route-9
206,Nikhil Gupta,7,Dance,Ananya Patel,9471539452,"H.No. 971, Secunderabad, Hyderabad",Route-5
207,Sai Singh,7,Singing,Ishita Joshi,9759737342,"H.No. 547, Kukatpally, Hyderabad",Route-9
208,Ananya Das,6,Painting,Manasa Naidu,9705180256,"H.No. 43, Nizampet, Hyderabad",Route-1
209,Sai Sharma,10,Cycling,Pallavi Singh,9763688866,"H.No. 655, Ameerpet, Hyderabad",Route-8
210,Madhavi Gupta,6,Volleyball,Priya Chowdary,9419367188,"H.No. 465, Kukatpally, Hyderabad",Route-12
211,Vihaan Patel,8,Music,Manoj Nair,9465278987,"H.No. 622, Miyapur, Hyderabad",Route-6
212,Abhiram Agarwal,7,Skating,Likith Naidu,9214014134,"H.No. 327, Uppal, Hyderabad",Route-8
213,Rahul Singh,6,Football,Manoj Varma,9411612760,"H.No. 969, Madhapur, Hyderabad",Route-10
214,Naveen Varma,9,Painting,Ananya Mishra,9303832812,"H.No. 782, Miyapur, Hyderabad",Route-8
215,Keerthi Babu,8,Badminton,Bhavya Gupta,9522240582,"H.No. 518, Gachibowli, Hyderabad",Route-4
216,Saanvi Das,5,Yoga,Teja Sharma,9741580895,"H.No. 904, Nizampet, Hyderabad",Route-11
217,Lakshmi Gupta,5,Drawing,Madhavi Reddy,9383975609,"H.No. 745, LB Nagar, Hyderabad",Route-7
218,Harsha Sharma,9,Music,Likith Sharma,9489256938,"H.No. 567, Dilsukhnagar, Hyderabad",Route-2
219,Vamsi Verma,7,Reading,Manoj Joshi,9238151258,"H.No. 999, Kukatpally, Hyderabad",Route-7
220,Harsha Mishra,6,Story Writing,Divya Agarwal,9530986098,"H.No. 513, Ameerpet, Hyderabad",Route-1
221,Aditya Naidu,9,Drawing,Charan Chowdary,9750967273,"H.No. 915, Secunderabad, Hyderabad",Route-3
222,Abhiram Kulkarni,8,Singing,Abhiram Patel,9737506993,"H.No. 345, Secunderabad, Hyderabad",Route-9
223,Madhavi Chowdary,8,Kabaddi,Pallavi Gupta,9455665802,"H.No. 690, Kukatpally, Hyderabad",Route-7
224,Manasa Gupta,8,Dance,Vivaan Kulkarni,9874597473,"H.No. 53, Begumpet, Hyderabad",Route-8
225,Ananya Verma,6,Dance,Harini Iyer,9133898577,"H.No. 587, Manikonda, Hyderabad",Route-2
226,Ishita Reddy,8,Cycling,Manoj Mishra,9841419015,"H.No. 209, Madhapur, Hyderabad",Route-9
227,Harini Chowdary,9,Skating,Vihaan Naidu,9449019278,"H.No. 679, Gachibowli, Hyderabad",Route-9
228,Vamsi Mishra,9,Skating,Diya Babu,9480412754,"H.No. 693, Kondapur, Hyderabad",Route-12
229,Sneha Kulkarni,6,Skating,Lakshmi Yadav,9420511037,"H.No. 231, Dilsukhnagar, Hyderabad",Route-5
230,Saanvi Chowdary,7,Coding,Abhiram Chowdary,9409011489,"H.No. 125, Begumpet, Hyderabad",Route-11
231,Madhavi Iyer,6,Football,Likith Agarwal,9408840720,"H.No. 979, Manikonda, Hyderabad",Route-2
232,Teja Babu,6,Skating,Sneha Chowdary,9391126537,"H.No. 956, Secunderabad, Hyderabad",Route-12
233,Meera Naidu,10,Dance,Krishna Kulkarni,9360337343,"H.No. 52, Nagole, Hyderabad",Route-9
234,Kavya Varma,8,Yoga,Vihaan Rao,9207959268,"H.No. 698, Kondapur, Hyderabad",Route-3
235,Aarav Joshi,10,Yoga,Ananya Nair,9798510601,"H.No. 205, Kondapur, Hyderabad",Route-5
236,Abhiram Gupta,10,Dance,Vihaan Kumar,9674615376,"H.No. 757, Manikonda, Hyderabad",Route-1
237,Diya Nair,8,Chess,Diya Sharma,9904236062,"H.No. 986, Nizampet, Hyderabad",Route-5
238,Aditya Reddy,9,Painting,Priya Das,9405545745,"H.No. 466, Nagole, Hyderabad",Route-9
239,Sirisha Chowdary,8,Music,Kiran Verma,9968457290,"H.No. 116, LB Nagar, Hyderabad",Route-3
240,Rohit Singh,10,Singing,Diya Reddy,9709650444,"H.No. 691, Kondapur, Hyderabad",Route-4
241,Diya Kulkarni,9,Badminton,Likith Nair,9530391423,"H.No. 686, Kukatpally, Hyderabad",Route-3
242,Kiran Chowdary,5,Volleyball,Abhiram Varma,9352889019,"H.No. 458, Kondapur, Hyderabad",Route-5
